% Input parameters
% year= 2007., month= 04, day= 01, hour=0.01,
% latitude= 46.4, longitude= 261.7, height= 100.
% Prof. parameters: start= 60. stop= 150. step= 1.
% 
% URSI maps are used for the F2 peak density (NmF2)
% CCIR maps are used for the F2 peak height (hmF2)
% B0-Table option is used for the bottomside thickness parameter B0
% Danilov- option is used for the ion composition
% The foF2 STORM model is turned on 
% IRI-95    option is used for the electron temperature
% IRI-95   option is used for the D-region Ne
% Scotto-97 no L   option is used for the F1 occurrence probability
% Peak Densities/cm-3: NmF2=  55940.0   NmF1=      0.0   NmE=   1713.8
% Peak Heights/km:     hmF2=   308.94   hmF1=     0.00   hmE=   110.00
%
% Local time=0.00
%
% Solar Zenith Angle/degree                             125.5
% Dip (Magnetic Inclination)/degree                     73.83
% Modip (Modified Dip)/degree                           57.20
% Solar Sunspot Number (12-months running mean) Rz12     10.5
% Ionospheric-Effective Solar Index IG12                  6.0
%
%-
%   H   ELECTRON DENSITY   TEMPERATURES         ION PERCENTAGES/%     1E16m-2
%   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 118.0    1096  0.015    -1    -1    -1   0   0   0   0  21  79   0  -1.0  -1
 119.0    1001  0.014    -1    -1    -1   0   0   0   0  22  78   0  -1.0  -1
 120.0     913  0.013   345   345   345   0   0   0   0  23  77   0  -1.0  -1
 121.0     832  0.012   359   359   359   0   0   0   0  23  77   0  -1.0  -1
 122.0     758  0.011   372   372   372   0   0   0   0  24  76   0  -1.0  -1
 123.0     692  0.010   384   384   384   0   0   0   0  24  76   0  -1.0  -1
 124.0     633  0.009   396   396   396   0   0   0   0  25  75   0  -1.0  -1
 125.0     582  0.008   408   408   408   0   0   0   0  26  74   0  -1.0  -1
 126.0     537  0.008   419   419   419   0   0   0   0  26  74   0  -1.0  -1
 127.0     497  0.007   430   430   430   0   0   0   0  27  73   0  -1.0  -1
 128.0     464  0.007   441   441   441   0   0   0   0  28  72   0  -1.0  -1
 129.0     435  0.006   451   451   451   0   0   0   0  28  72   0  -1.0  -1
 130.0     410  0.006   461   461   461   0   0   0   0  29  71   0  -1.0  -1
 131.0     390  0.005   470   470   470   0   0   0   0  29  71   0  -1.0  -1
 132.0     373  0.005   479   479   479   0   0   0   0  30  70   0  -1.0  -1
 133.0     359  0.005   488   488   488   0   0   0   0  31  69   0  -1.0  -1
 134.0     348  0.005   497   497   497   0   0   0   0  31  69   0  -1.0  -1
 135.0     340  0.005   505   505   505   0   0   0   0  32  68   0  -1.0  -1
 136.0     334  0.005   513   513   513   0   0   0   0  32  68   0  -1.0  -1
 137.0     331  0.005   521   521   521   0   0   0   0  33  67   0  -1.0  -1
 138.0     330  0.005   528   528   528   0   0   0   0  34  66   0  -1.0  -1
 139.0     331  0.005   535   535   535   0   0   0   0  34  66   0  -1.0  -1
 140.0     335  0.005   542   542   542   0   0   0   0  35  65   0  -1.0  -1
 141.0     340  0.005   549   549   549   0   0   0   0  35  65   0  -1.0  -1
 142.0     347  0.005   555   555   555   0   0   0   0  35  65   0  -1.0  -1
 143.0     357  0.005   561   561   563   0   0   0   0  35  65   0  -1.0  -1
 144.0     368  0.005   567   567   572   0   0   0   0  35  65   0  -1.0  -1
 145.0     382  0.005   573   573   580   0   0   0   0  35  65   0  -1.0  -1
 146.0     397  0.006   578   578   588   1   0   0   0  35  64   0  -1.0  -1
 147.0     415  0.006   584   584   596   1   0   0   0  35  64   0  -1.0  -1
 148.0     435  0.006   589   589   604   1   0   0   0  35  64   0  -1.0  -1
 149.0     457  0.006   594   594   612   1   0   0   0  35  64   0  -1.0  -1
 150.0     481  0.007   599   599   619   1   0   0   0  35  64   0  -1.0  -1
