% Winter daytime atmosphere density at Gamma Ray burst location, part 2
% ---------------------------------------------------------------------------
% Created on 2006-11-02
% MSIS-E-90 Atmosphere Model
% http://modelweb.gsfc.nasa.gov/models/msis.html
% UT IS USED
% ---------------------------------------------------------------------------
% Intut parameters
% year= 2004, month= 12, day= 27, hour=21.5,
% latitude= -20.4, longitude= 213.8, height= 100.
% Prof. parameters: start= 0. stop= 200. step= 1.
%
% F10.7(daily) used:  88.7
% F10.7(3-month avg) used:  96.7
% ap(daily,0-3,3-6,6-9,9-12,12-33,33-59 h prior) used:
%     8.1    12.0  12.0   4.0   4.0  10.1   8.4
% ---------------------------------------------------------------------------
%                     NUMBER DENSITIES                 TEMPERATURE
%    H/KM     He/cm-3    Ar/cm-3    H/cm-3     N/cm-3     Tn/K
    75.0   4.629E+09  7.968E+12  6.754E+04  6.632E+04   205.4
    76.0   3.967E+09  6.801E+12  3.797E+05  7.162E+04   204.3
    77.0   3.395E+09  5.792E+12  2.071E+06  7.725E+04   203.5
    78.0   2.902E+09  4.924E+12  9.051E+06  8.325E+04   202.9
    79.0   2.478E+09  4.180E+12  2.843E+07  8.966E+04   202.4
    80.0   2.117E+09  3.545E+12  6.334E+07  9.652E+04   202.1
    81.0   1.808E+09  3.003E+12  1.050E+08  1.039E+05   202.0
    82.0   1.545E+09  2.542E+12  1.392E+08  1.118E+05   201.9
    83.0   1.321E+09  2.151E+12  1.577E+08  1.203E+05   201.8
    84.0   1.132E+09  1.820E+12  1.608E+08  1.295E+05   201.8
    85.0   9.707E+08  1.539E+12  1.533E+08  1.395E+05   201.8
    86.0   8.343E+08  1.301E+12  1.403E+08  1.502E+05   201.7
    87.0   7.186E+08  1.100E+12  1.252E+08  1.619E+05   201.5
    88.0   6.206E+08  9.297E+11  1.102E+08  1.746E+05   201.2
    89.0   5.376E+08  7.858E+11  9.642E+07  1.883E+05   200.7
    90.0   4.672E+08  6.640E+11  8.416E+07  2.033E+05   200.1
    91.0   4.074E+08  5.609E+11  7.351E+07  2.195E+05   199.3
    92.0   3.566E+08  4.734E+11  6.437E+07  2.372E+05   198.3
    93.0   3.132E+08  3.991E+11  5.657E+07  2.562E+05   197.3
    94.0   2.762E+08  3.358E+11  4.992E+07  2.766E+05   196.1
    95.0   2.444E+08  2.820E+11  4.425E+07  2.986E+05   195.0
    96.0   2.173E+08  2.361E+11  3.941E+07  3.222E+05   193.9
    97.0   1.939E+08  1.972E+11  3.527E+07  3.474E+05   192.8
    98.0   1.739E+08  1.641E+11  3.172E+07  3.745E+05   191.9
    99.0   1.567E+08  1.361E+11  2.866E+07  4.034E+05   191.0
   100.0   1.418E+08  1.124E+11  2.601E+07  4.345E+05   190.4
   101.0   1.290E+08  9.247E+10  2.370E+07  4.678E+05   190.0
   102.0   1.180E+08  7.575E+10  2.168E+07  5.035E+05   189.9
   103.0   1.083E+08  6.178E+10  1.989E+07  5.418E+05   190.2
   104.0   9.989E+07  5.016E+10  1.830E+07  5.828E+05   190.8
   105.0   9.247E+07  4.055E+10  1.686E+07  6.265E+05   192.0
   106.0   8.590E+07  3.264E+10  1.556E+07  6.730E+05   193.8
   107.0   8.002E+07  2.617E+10  1.438E+07  7.222E+05   196.3
   108.0   7.470E+07  2.091E+10  1.328E+07  7.741E+05   199.7
   109.0   6.983E+07  1.665E+10  1.226E+07  8.281E+05   204.1
   110.0   6.531E+07  1.322E+10  1.130E+07  8.838E+05   209.7
   111.0   6.106E+07  1.048E+10  1.040E+07  9.405E+05   216.8
   112.0   5.705E+07  8.304E+09  9.554E+06  9.980E+05   225.4
   113.0   5.326E+07  6.585E+09  8.757E+06  1.057E+06   235.7
   114.0   4.967E+07  5.234E+09  8.013E+06  1.116E+06   247.6
   115.0   4.625E+07  4.175E+09  7.320E+06  1.178E+06   261.3
   116.0   4.301E+07  3.345E+09  6.678E+06  1.241E+06   276.7
   117.0   3.993E+07  2.696E+09  6.086E+06  1.306E+06   293.9
   118.0   3.701E+07  2.187E+09  5.545E+06  1.375E+06   312.7
   119.0   3.427E+07  1.789E+09  5.055E+06  1.450E+06   332.8
   120.0   3.171E+07  1.477E+09  4.614E+06  1.532E+06   353.6
   121.0   2.935E+07  1.233E+09  4.224E+06  1.627E+06   374.2
   122.0   2.721E+07  1.042E+09  3.884E+06  1.739E+06   393.4
   123.0   2.532E+07  8.943E+08  3.595E+06  1.876E+06   409.2
   124.0   2.358E+07  7.743E+08  3.339E+06  2.033E+06   423.7
   125.0   2.193E+07  6.741E+08  3.106E+06  2.204E+06   437.7
   126.0   2.039E+07  5.898E+08  2.893E+06  2.391E+06   451.3
   127.0   1.895E+07  5.184E+08  2.699E+06  2.593E+06   464.6
   128.0   1.764E+07  4.576E+08  2.522E+06  2.813E+06   477.4
   129.0   1.645E+07  4.055E+08  2.359E+06  3.050E+06   489.9
   130.0   1.537E+07  3.607E+08  2.209E+06  3.305E+06   502.0
   131.0   1.442E+07  3.219E+08  2.072E+06  3.579E+06   513.7
   132.0   1.358E+07  2.881E+08  1.945E+06  3.873E+06   525.1
   133.0   1.284E+07  2.587E+08  1.828E+06  4.186E+06   536.2
   134.0   1.220E+07  2.328E+08  1.720E+06  4.519E+06   547.0
   135.0   1.164E+07  2.101E+08  1.621E+06  4.873E+06   557.4
   136.0   1.115E+07  1.901E+08  1.529E+06  5.248E+06   567.6
   137.0   1.072E+07  1.724E+08  1.444E+06  5.644E+06   577.4
   138.0   1.035E+07  1.566E+08  1.365E+06  6.060E+06   587.0
   139.0   1.003E+07  1.426E+08  1.291E+06  6.498E+06   596.3
   140.0   9.743E+06  1.301E+08  1.223E+06  6.957E+06   605.3
   141.0   9.489E+06  1.189E+08  1.160E+06  7.436E+06   614.1
   142.0   9.262E+06  1.088E+08  1.102E+06  7.936E+06   622.6
   143.0   9.058E+06  9.974E+07  1.047E+06  8.455E+06   630.8
   144.0   8.873E+06  9.159E+07  9.967E+05  8.993E+06   638.9
   145.0   8.704E+06  8.422E+07  9.495E+05  9.550E+06   646.6
   146.0   8.550E+06  7.755E+07  9.055E+05  1.012E+07   654.2
   147.0   8.406E+06  7.151E+07  8.645E+05  1.071E+07   661.6
   148.0   8.273E+06  6.601E+07  8.262E+05  1.132E+07   668.7
   149.0   8.149E+06  6.102E+07  7.905E+05  1.194E+07   675.6

