% Input parameters
% year= 2007., month= 11, day= 12, hour=8.5,
% latitude= 20., longitude= 202., height= 100.
% Prof. parameters: start= 60. stop= 150. step= 1.
%   H   ELECTRON DENSITY   TEMPERATURES         ION PERCENTAGES/%     1E16m-2
%   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 128.0     479  0.003   430   430   430   0   0   0   0  33  67   0  -1.0  -1
 129.0     449  0.003   440   440   440   0   0   0   0  32  68   0  -1.0  -1
 130.0     424  0.003   448   448   448   0   0   0   0  32  68   0  -1.0  -1
 131.0     402  0.003   457   457   457   0   0   0   0  33  67   0  -1.0  -1
 132.0     384  0.002   465   465   465   0   0   0   0  34  66   0  -1.0  -1
 133.0     370  0.002   473   473   473   0   0   0   0  34  66   0  -1.0  -1
 134.0     359  0.002   481   481   481   0   0   0   0  35  65   0  -1.0  -1
 135.0     351  0.002   489   489   489   0   0   0   0  36  64   0  -1.0  -1
 136.0     345  0.002   496   496   496   0   0   0   0  37  63   0  -1.0  -1
 137.0     342  0.002   503   503   503   0   0   0   0  38  62   0  -1.0  -1
 138.0     341  0.002   510   510   510   0   0   0   0  38  62   0  -1.0  -1
 139.0     343  0.002   516   516   518   0   0   0   0  39  61   0  -1.0  -1
 140.0     347  0.002   522   522   526   0   0   0   0  40  60   0  -1.0  -1
 141.0     353  0.002   528   528   535   0   0   0   0  40  60   0  -1.0  -1
 142.0     362  0.002   534   534   543   1   0   0   0  40  59   0  -1.0  -1
 143.0     373  0.002   540   540   551   1   0   0   0  40  59   0  -1.0  -1
 144.0     387  0.002   545   545   559   1   0   0   0  40  59   0  -1.0  -1
 145.0     403  0.003   551   551   566   2   0   0   0  40  58   0  -1.0  -1
 146.0     422  0.003   556   556   573   2   0   0   0  40  58   0  -1.0  -1
 147.0     444  0.003   561   561   580   2   0   0   0  40  58   0  -1.0  -1
 148.0     470  0.003   565   565   586   3   0   0   0  40  57   0  -1.0  -1
 149.0     498  0.003   570   570   592   3   0   0   0  40  57   0  -1.0  -1
